序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
773,002159,三特索道,6.48亿,23.87%,1.34亿,"2,549.34%",0.97,6.92,15.00%,2019-02-28
774,002371,北方华创,33.20亿,48.99%,2.31亿,85.21%,0.51,7.74,6.77%,2019-02-28
775,002170,芭田股份,22.78亿,10.20%,829.66万,--,0.01,2.14,0.44%,2019-02-28
776,300295,三六五网,5.09亿,7.60%,"9,869.04万",2.99%,0.51,6.16,8.58%,2019-02-28
777,300373,扬杰科技,18.52亿,26.04%,1.95亿,-25.79%,0.41,5.10,8.26%,2019-02-28
778,002290,*ST中科,17.34亿,21.16%,"6,094.62万","2,594.03%",0.25,5.11,4.98%,2019-02-28
779,002279,久其软件,27.13亿,35.74%,-7.95亿,-358.14%,-1.12,1.67,-35.78%,2019-02-28
780,002133,广宇集团,32.40亿,-5.84%,3.45亿,72.82%,0.45,4.18,11.16%,2019-02-28
781,002134,天津普林,3.93亿,-8.96%,"-5,943.67万",-529.84%,-0.24,1.54,-14.57%,2019-02-28
782,002232,启明信息,15.88亿,-7.25%,"7,216.74万",35.71%,0.18,2.73,6.62%,2019-02-28
783,002132,恒星科技,30.16亿,-0.98%,-1.30亿,-330.00%,-0.10,2.24,-4.74%,2019-02-28
784,300303,聚飞光电,23.42亿,13.97%,1.59亿,166.42%,0.13,1.51,8.54%,2019-02-28
785,002131,利欧股份,114.79亿,9.02%,-15.85亿,-474.37%,-0.28,1.20,-21.85%,2019-02-28
786,002127,南极电商,33.55亿,240.83%,8.86亿,66.92%,0.36,1.53,25.15%,2019-02-28
787,002129,中环股份,138.55亿,45.62%,6.01亿,7.30%,0.22,4.78,4.81%,2019-02-28
788,002126,银轮股份,50.54亿,18.94%,3.58亿,10.15%,0.45,4.51,10.26%,2019-02-28
789,002122,*ST天马,18.12亿,-28.81%,-6.25亿,-574.32%,-0.53,2.69,-14.11%,2019-02-28
790,002125,湘潭电化,10.79亿,46.19%,"7,101.31万",40.18%,0.21,3.33,6.26%,2019-02-28
791,002123,梦网集团,28.01亿,9.84%,"7,829.05万",-67.79%,0.10,5.66,1.68%,2019-02-28
792,002135,东南网架,87.08亿,11.57%,1.78亿,72.96%,0.17,3.90,4.45%,2019-02-28
793,002207,ST准油,2.60亿,26.17%,-3.40亿,"-3,733.32%",-1.42,0.08,-180.17%,2019-02-28
794,002130,沃尔核材,35.25亿,37.04%,"2,051.42万",-87.18%,0.02,2.05,0.75%,2019-02-28
795,002115,三维通信,35.91亿,204.98%,2.13亿,355.32%,0.40,4.22,9.77%,2019-02-28
796,002112,三变科技,5.71亿,6.16%,660.00万,--,0.03,1.91,1.73%,2019-02-28
797,002121,科陆电子,38.87亿,-11.28%,-11.31亿,-346.02%,-0.80,2.60,-26.98%,2019-02-28
798,002104,恒宝股份,16.89亿,23.08%,1.44亿,-12.22%,0.20,2.66,7.75%,2019-02-28
799,002105,信隆健康,14.98亿,-14.01%,"1,022.97万",-78.56%,0.03,1.41,1.85%,2019-02-28
800,300558,贝达药业,12.24亿,19.27%,1.57亿,-39.94%,0.39,5.65,7.30%,2019-02-28
801,002200,*ST云投,7.70亿,7.49%,-2.47亿,--,-1.34,1.08,-76.53%,2019-02-28
802,002100,天康生物,52.72亿,12.50%,3.19亿,-22.40%,0.33,3.47,10.34%,2019-02-28
803,002097,山河智能,57.51亿,44.98%,4.31亿,151.52%,0.41,4.38,9.57%,2019-02-28
804,002098,浔兴股份,22.72亿,21.39%,-6.50亿,-642.21%,-1.81,1.57,-72.95%,2019-02-28
805,002520,日发精机,19.76亿,97.66%,1.78亿,222.62%,0.24,3.88,6.03%,2019-02-28
806,002083,孚日股份,51.71亿,7.24%,4.49亿,9.53%,0.49,3.80,13.25%,2019-02-28
807,002095,生意宝,4.42亿,21.32%,"3,316.58万",74.23%,0.13,3.36,3.95%,2019-02-28
808,002092,中泰化学,702.23亿,71.03%,24.28亿,1.07%,1.08,8.82,13.00%,2019-02-28
809,002843,泰嘉股份,3.51亿,15.07%,"5,723.31万",6.43%,0.41,4.77,8.98%,2019-02-28
810,300049,福瑞股份,8.61亿,0.47%,"3,738.72万",-57.78%,0.15,5.25,2.48%,2019-02-28
811,002074,国轩高科,51.14亿,1.31%,5.80亿,-36.98%,0.51,7.51,6.85%,2019-02-28
812,002086,ST东海洋,7.45亿,-7.46%,-8.08亿,-701.13%,-1.11,3.62,-27.86%,2019-02-28
813,002085,万丰奥威,109.52亿,7.71%,9.55亿,7.21%,0.44,2.89,13.89%,2019-02-28
814,002168,惠程科技,18.98亿,408.64%,3.41亿,--,0.42,2.39,17.53%,2019-02-28
815,002172,澳洋健康,47.30亿,-12.47%,"1,081.13万",-93.59%,0.01,2.42,1.00%,2019-02-28
816,002084,海鸥住工,22.25亿,--,"4,194.84万",--,0.08,3.14,2.60%,2019-02-28
817,002362,汉王科技,7.47亿,22.93%,"1,586.46万",-62.97%,0.07,3.99,1.92%,2019-02-28
818,002308,威创股份,11.73亿,3.05%,1.74亿,-8.97%,0.19,3.93,4.98%,2019-02-28
819,002068,黑猫股份,78.93亿,13.61%,4.02亿,-16.31%,0.55,4.63,12.38%,2019-02-28
820,002071,长城影视,15.01亿,19.55%,-3.55亿,-311.95%,-0.68,0.57,-10.69%,2019-02-28
821,002076,雪莱特,5.66亿,-44.82%,-8.17亿,"-1,534.41%",-1.08,0.65,-101.47%,2019-02-28
822,002141,贤丰控股,10.06亿,-13.52%,706.88万,-26.38%,0.01,1.16,0.54%,2019-02-28
823,002184,海得控制,17.37亿,-15.33%,-1.48亿,"-1,100.72%",-0.62,3.87,-14.52%,2019-02-28
824,002062,宏润建设,98.91亿,17.87%,3.00亿,10.35%,0.27,2.71,10.48%,2019-02-28
825,002118,紫鑫药业,13.25亿,-0.09%,1.80亿,-50.67%,0.15,3.37,4.26%,2019-02-28
826,002263,*ST东南,14.66亿,39.63%,"1,597.69万",--,0.01,1.15,0.74%,2019-02-28
827,002096,南岭民爆,21.91亿,-22.74%,"2,296.87万",-23.26%,0.06,5.36,1.14%,2019-02-28
828,002091,江苏国泰,380.88亿,9.23%,9.96亿,25.56%,0.63,4.94,13.41%,2019-02-28
829,002089,*ST新海,7.59亿,-53.17%,-4.52亿,--,-0.33,0.95,-29.87%,2019-02-28
830,002082,万邦德,143.38亿,-2.03%,"8,502.84万",-13.65%,0.36,6.27,5.81%,2019-02-28
831,002057,中钢天源,12.79亿,10.12%,1.26亿,-10.30%,0.32,3.47,9.47%,2019-02-28
832,002065,东华软件,80.68亿,12.55%,8.02亿,15.79%,0.26,2.94,8.63%,2019-02-28
833,002055,得润电子,74.19亿,26.63%,2.88亿,54.60%,0.61,5.85,10.99%,2019-02-28
834,002054,德美化工,16.61亿,-32.42%,"5,576.53万",89.46%,0.13,4.32,3.08%,2019-02-28
835,002143,*ST印纪,3.77亿,-83.70%,-20.06亿,-358.36%,-1.14,0.51,-96.05%,2019-02-28
836,002087,新野纺织,61.28亿,14.86%,3.85亿,27.99%,0.47,4.78,11.17%,2019-02-28
837,002316,亚联发展,39.38亿,264.50%,"9,643.18万",--,0.25,2.23,11.28%,2019-02-28
838,002176,江特电机,30.11亿,-12.56%,-16.34亿,-646.34%,-1.10,2.07,-44.62%,2019-02-28
839,002405,四维图新,21.49亿,-0.24%,4.79亿,80.48%,0.38,5.50,6.96%,2019-02-28
840,300184,力源信息,107.98亿,30.88%,3.59亿,9.93%,0.54,6.94,8.17%,2019-02-28
841,002703,浙江世宝,11.33亿,-2.02%,731.57万,-77.58%,0.01,1.87,0.50%,2019-02-28
842,002358,森源电气,27.01亿,-23.95%,2.80亿,-37.29%,0.30,5.42,5.69%,2019-02-28
843,002534,杭锅股份,35.72亿,2.21%,2.39亿,-41.79%,0.33,4.20,7.87%,2019-02-28
844,002448,中原内配,16.01亿,5.57%,2.86亿,-4.15%,0.47,4.44,11.41%,2019-02-28
845,002061,浙江交科,263.77亿,26.50%,12.17亿,11.46%,0.92,5.18,19.97%,2019-02-28
846,002080,中材科技,114.57亿,11.58%,9.57亿,24.68%,0.74,8.32,9.43%,2019-02-28
847,002393,力生制药,15.04亿,46.00%,1.85亿,59.84%,1.02,17.61,5.90%,2019-02-28
848,002140,东华科技,40.34亿,38.68%,1.48亿,--,0.33,4.72,7.31%,2019-02-28
849,002427,*ST尤夫,38.56亿,-24.24%,-10.40亿,-411.49%,-2.61,1.91,-80.97%,2019-02-28
850,002416,爱施德,568.95亿,0.39%,"-9,449.72万",-124.68%,-0.08,3.97,-1.83%,2019-02-28
851,002370,亚太药业,13.03亿,20.12%,2.04亿,0.61%,0.38,4.68,8.41%,2019-02-28
852,002059,云南旅游,22.60亿,39.40%,4.87亿,581.06%,0.67,2.72,27.94%,2019-02-28
853,002206,海利得,35.71亿,11.95%,3.51亿,12.52%,0.29,2.38,11.79%,2019-02-28
854,002101,广东鸿图,60.51亿,20.96%,3.39亿,14.29%,0.64,8.60,7.63%,2019-02-28
855,002185,华天科技,71.12亿,-4.99%,3.87亿,-22.17%,0.18,2.67,7.02%,2019-02-28
856,002570,贝因美,24.76亿,-6.43%,"4,092.00万",--,0.04,1.81,2.18%,2019-02-28
857,002142,宁波银行,289.30亿,14.45%,289.30亿,14.45%,2.15,12.68,18.72%,2019-02-28
858,002272,川润股份,6.59亿,9.04%,"4,524.99万",602.76%,0.11,2.86,3.77%,2019-02-28
859,002940,昂利康,12.55亿,--,1.09亿,--,1.53,10.21,22.18%,2019-02-28
860,002056,横店东磁,64.89亿,7.96%,6.89亿,19.14%,0.42,2.88,14.08%,2019-02-28
861,002205,国统股份,7.89亿,3.94%,326.27万,-79.45%,0.03,8.05,0.35%,2019-02-28
862,002063,远光软件,12.77亿,8.26%,1.95亿,12.05%,0.23,2.65,9.10%,2019-02-28
863,300269,联建光电,41.02亿,2.54%,-28.06亿,-793.72%,-4.59,3.55,-80.24%,2019-02-28
864,002275,桂林三金,15.86亿,-1.97%,4.09亿,-12.12%,0.69,4.75,14.83%,2019-02-28
865,002153,石基信息,30.32亿,4.95%,4.35亿,0.59%,0.41,7.85,7.00%,2019-02-28
866,300520,科大国创,9.88亿,62.38%,"5,021.34万",166.64%,0.25,5.41,8.57%,2019-02-28
867,002267,陕天然气,90.00亿,17.38%,4.09亿,-0.82%,0.37,5.08,7.27%,2019-02-28
868,002332,仙琚制药,36.06亿,26.60%,3.01亿,45.63%,0.33,2.88,12.18%,2019-02-28
869,002072,*ST凯瑞,"2,503.56万",-73.09%,-2.50亿,"-3,953.07%",-1.42,-1.08,0.00%,2019-02-28
870,300026,红日药业,42.24亿,24.99%,2.09亿,-53.48%,0.07,2.13,3.26%,2019-02-28
871,002644,佛慈制药,5.45亿,8.81%,"7,424.56万",-0.05%,0.15,2.82,5.30%,2019-02-28
872,002060,粤水电,85.46亿,28.84%,2.01亿,25.28%,0.16,2.53,6.80%,2019-02-28
873,002067,景兴纸业,59.38亿,10.79%,3.42亿,-46.69%,0.31,3.80,8.49%,2019-02-28
874,300077,国民技术,6.11亿,-12.13%,-4.63亿,--,-0.83,3.77,-19.84%,2019-02-28
875,002356,*ST赫美,19.38亿,-19.60%,-13.88亿,"-1,063.86%",-2.63,0.74,-125.52%,2019-02-28
876,002298,中电兴发,24.23亿,20.83%,1.88亿,7.28%,0.27,6.10,4.33%,2019-02-28
877,002771,真视通,8.74亿,6.79%,"4,116.51万",-41.12%,0.25,4.15,6.28%,2019-02-28
878,002307,北新路桥,105.38亿,16.02%,"5,300.21万",3.42%,0.06,2.10,2.85%,2019-02-28
879,002945,华林证券,10.01亿,--,3.45亿,--,0.14,1.68,8.84%,2019-02-28
880,002797,第一创业,17.70亿,-9.31%,1.24亿,-70.59%,0.04,2.51,1.41%,2019-02-28
881,002500,山西证券,68.45亿,55.21%,2.20亿,-47.66%,0.08,4.40,1.77%,2019-02-28
882,002926,华西证券,25.46亿,-4.63%,8.52亿,-16.61%,0.33,7.00,4.84%,2019-02-28
883,002736,国信证券,100.31亿,-15.87%,34.23亿,-25.17%,0.38,6.40,6.66%,2019-02-28
884,002053,云南能投,14.30亿,-1.16%,1.16亿,-28.56%,0.21,4.34,4.86%,2019-02-28
885,002672,东江环保,32.97亿,6.28%,4.09亿,-13.21%,0.47,4.55,10.39%,2019-02-28
886,002050,三花智控,108.33亿,13.16%,12.92亿,4.78%,0.61,4.04,15.58%,2019-02-28
887,002048,宁波华翔,152.47亿,2.91%,7.01亿,-11.41%,1.12,12.92,8.77%,2019-02-28
888,002047,宝鹰股份,68.50亿,-3.42%,2.97亿,-19.49%,0.22,2.95,7.70%,2019-02-28
889,002046,轴研科技,20.66亿,38.27%,"2,176.38万",39.66%,0.04,4.99,0.84%,2019-02-28
890,002042,华孚时尚,143.06亿,13.57%,7.80亿,15.59%,0.51,4.57,11.09%,2019-02-28
891,002041,登海种业,7.68亿,-5.69%,"3,229.17万",-80.84%,0.04,3.17,1.16%,2019-02-28
892,002040,南京港,7.18亿,5.88%,1.64亿,54.32%,0.44,6.89,6.59%,2019-02-28
893,002038,双鹭药业,21.67亿,74.47%,5.87亿,9.27%,0.86,6.58,13.44%,2019-02-28
894,002037,久联发展,60.35亿,31.06%,1.77亿,131.95%,0.36,6.71,5.79%,2019-02-28
895,002036,联创电子,48.02亿,-4.99%,2.63亿,-11.24%,0.48,3.60,13.17%,2019-02-28
896,002031,巨轮智能,14.01亿,21.43%,"5,621.63万",-14.53%,0.03,1.39,1.85%,2019-02-28
897,002026,山东威达,16.62亿,11.18%,1.55亿,22.55%,0.37,5.91,6.44%,2019-02-28
898,002024,苏宁易购,"2,453.11亿",30.55%,133.20亿,216.39%,1.44,8.65,16.86%,2019-02-28
899,002023,海特高新,5.16亿,21.18%,"6,711.03万",100.91%,0.09,4.60,1.90%,2019-02-28
900,002022,科华生物,20.17亿,25.19%,2.27亿,3.77%,0.44,4.26,10.76%,2019-02-28
901,002021,*ST中捷,11.41亿,13.85%,-2.36亿,--,-0.34,1.02,-28.89%,2019-02-28
902,002019,亿帆医药,46.15亿,5.55%,8.03亿,-39.24%,0.67,5.54,11.91%,2019-02-28
903,002010,传化智联,196.82亿,1.61%,7.97亿,72.44%,0.24,3.73,6.76%,2019-02-28
904,002008,大族激光,110.28亿,-4.60%,17.21亿,2.76%,1.62,7.93,21.41%,2019-02-28
905,002006,精功科技,10.33亿,8.77%,531.07万,-94.55%,0.01,2.25,0.52%,2019-02-28
906,002005,*ST德豪,41.20亿,-1.98%,-5.03亿,--,-0.28,3.24,-8.45%,2019-02-28
907,002004,华邦健康,105.68亿,14.85%,5.13亿,3.00%,0.25,4.46,5.35%,2019-02-28
908,002003,伟星股份,27.18亿,4.01%,3.09亿,-13.05%,0.41,3.12,13.06%,2019-02-28
909,002002,鸿达兴业,62.47亿,-7.32%,7.26亿,-30.20%,0.28,2.46,12.10%,2019-02-28
910,002181,粤传媒,7.97亿,-10.83%,"5,454.07万",-27.77%,0.05,3.42,1.38%,2019-02-28
911,600435,北方导航,19.99亿,--,"4,839.39万",--,0.03,1.43,2.28%,2019-02-28
912,600745,闻泰科技,173.32亿,--,"6,152.85万",--,0.10,5.64,1.73%,2019-02-28
913,002947,恒铭达,5.01亿,--,1.26亿,--,1.38,6.02,25.93%,2019-02-27
914,300753,爱朋医疗,2.98亿,--,"7,008.98万",--,1.16,7.49,22.84%,2019-02-27
915,300745,欣锐科技,7.17亿,--,"8,255.15万",--,0.80,9.43,9.02%,2019-02-27
916,002903,宇环数控,2.00亿,-20.18%,"3,451.72万",-56.29%,0.27,4.11,5.60%,2019-02-27
917,300719,安达维尔,4.99亿,13.22%,"5,326.32万",-40.06%,0.21,3.73,5.62%,2019-02-27
918,002899,英派斯,9.08亿,5.88%,"6,260.56万",-24.73%,0.52,8.38,6.40%,2019-02-27
919,300743,天地数码,4.06亿,--,"3,227.20万",--,0.54,5.89,10.28%,2019-02-27
920,300692,中环环保,3.92亿,71.25%,"6,130.61万",22.23%,0.38,4.71,8.46%,2019-02-27
921,300669,沪宁股份,2.79亿,7.42%,"3,762.56万",-2.86%,0.45,5.53,8.31%,2019-02-27
922,300742,越博动力,6.78亿,--,"8,777.60万",--,1.25,15.26,8.97%,2019-02-27
923,300697,电工合金,14.12亿,7.47%,"6,816.88万",14.04%,0.33,3.62,9.31%,2019-02-27
924,300668,杰恩设计,3.30亿,32.95%,"8,179.01万",31.60%,1.11,3.86,19.05%,2019-02-27
925,300679,电连技术,13.43亿,-5.63%,2.39亿,-34.31%,1.42,15.49,7.40%,2019-02-27
926,300693,盛弘股份,5.31亿,17.72%,"5,052.62万",9.89%,0.37,4.47,8.47%,2019-02-27
927,300722,新余国科,2.14亿,6.77%,"7,402.83万",65.46%,0.93,5.45,17.83%,2019-02-27
928,300737,科顺股份,30.91亿,51.59%,1.86亿,-14.45%,0.31,4.76,7.40%,2019-02-27
929,002888,惠威科技,2.67亿,1.06%,"2,919.04万",-14.25%,0.23,3.58,6.66%,2019-02-27
930,300658,延江股份,7.65亿,3.70%,"4,641.06万",-48.51%,0.31,5.14,6.16%,2019-02-27
931,300637,扬帆新材,5.26亿,20.51%,1.37亿,110.83%,1.15,5.68,22.02%,2019-02-27
932,002871,伟隆股份,3.47亿,21.06%,"7,747.58万",26.78%,0.67,5.23,13.39%,2019-02-27
933,300618,寒锐钴业,27.78亿,--,7.10亿,--,3.70,9.92,49.75%,2019-02-27
934,002887,绿茵生态,5.12亿,-26.47%,1.52亿,-21.60%,0.95,10.87,8.97%,2019-02-27
935,002875,安奈儿,12.12亿,17.46%,"8,369.11万",20.96%,0.63,6.52,10.16%,2019-02-27
936,300741,华宝股份,21.69亿,--,11.76亿,--,1.94,14.59,14.57%,2019-02-27
937,300633,开立医疗,12.31亿,24.44%,2.52亿,31.32%,0.63,3.27,21.44%,2019-02-27
938,300605,恒锋信息,5.24亿,29.87%,"5,390.20万",23.56%,0.43,4.49,11.45%,2019-02-27
939,300694,蠡湖股份,11.20亿,--,"7,940.04万",--,0.47,5.23,11.07%,2019-02-27
940,300585,奥联电子,3.46亿,-12.15%,"4,743.30万",-19.97%,0.29,2.92,10.31%,2019-02-27
941,002893,华通热力,9.66亿,4.63%,"4,405.98万",-19.38%,0.37,5.09,7.06%,2019-02-27
942,300635,达安股份,4.96亿,22.10%,"5,493.43万",6.30%,0.40,4.75,8.80%,2019-02-27
943,300715,凯伦股份,6.19亿,57.09%,"6,530.11万",46.51%,0.50,3.29,15.97%,2019-02-27
944,300504,天邑股份,27.75亿,17.83%,1.53亿,-33.45%,0.61,6.57,10.06%,2019-02-27
945,300609,汇纳科技,2.50亿,23.22%,"6,551.85万",6.85%,0.65,5.21,13.30%,2019-02-27
946,300577,开润股份,20.53亿,76.63%,1.73亿,30.46%,0.80,2.92,30.63%,2019-02-27
947,300688,创业黑马,3.35亿,81.59%,"1,206.36万",-74.60%,0.18,5.61,3.19%,2019-02-27
948,300607,拓斯达,11.98亿,56.73%,1.71亿,23.76%,1.31,6.98,20.48%,2019-02-27
949,300600,瑞特股份,4.89亿,17.50%,1.08亿,0.00%,0.67,6.78,11.13%,2019-02-27
950,300510,金冠股份,12.46亿,68.03%,1.97亿,58.82%,0.39,8.12,5.32%,2019-02-27
951,300733,西菱动力,5.18亿,-15.47%,"6,746.01万",-33.81%,0.42,7.12,6.27%,2019-02-27
952,002935,天奥电子,8.64亿,--,"9,707.80万",--,1.09,11.09,11.91%,2019-02-27
953,300645,正元智慧,5.67亿,26.27%,"5,028.81万",19.08%,0.75,8.77,8.80%,2019-02-27
954,300710,万隆光电,3.44亿,-17.85%,"1,535.46万",-67.18%,0.22,8.43,2.64%,2019-02-27
955,300628,亿联网络,18.15亿,30.77%,8.55亿,44.81%,2.86,11.76,27.05%,2019-02-27
956,300581,晨曦航空,1.74亿,-2.21%,"6,665.48万",37.72%,0.39,3.65,11.25%,2019-02-27
957,300597,吉大通信,4.08亿,-5.13%,"4,263.69万",1.69%,0.18,3.19,5.71%,2019-02-27
958,300598,诚迈科技,5.30亿,9.00%,"1,587.42万",-59.69%,0.20,5.77,3.49%,2019-02-27
959,002842,翔鹭钨业,16.75亿,71.46%,1.14亿,66.39%,0.67,5.00,13.91%,2019-02-27
960,002876,三利谱,8.83亿,7.99%,"2,755.69万",-66.57%,0.34,11.02,3.09%,2019-02-27
961,300686,智动力,6.59亿,16.65%,709.94万,-83.34%,0.03,3.01,1.15%,2019-02-27
962,300606,金太阳,3.82亿,47.84%,"5,175.75万",-7.30%,0.59,5.71,9.65%,2019-02-27
963,002886,沃特股份,8.08亿,5.65%,"3,466.70万",-17.35%,0.29,5.55,5.42%,2019-02-27
964,300535,达威股份,3.56亿,7.06%,"4,139.89万",-18.70%,0.41,7.10,5.91%,2019-02-27
965,300516,久之洋,4.67亿,50.08%,"4,555.49万",2.38%,0.38,10.00,3.86%,2019-02-27
966,300572,安车检测,5.28亿,28.16%,1.24亿,56.38%,1.26,5.56,20.24%,2019-02-27
967,002890,弘宇股份,2.39亿,-15.58%,"2,812.56万",-29.87%,0.42,7.95,5.43%,2019-02-27
968,002884,凌霄泵业,11.04亿,12.27%,2.23亿,18.91%,1.80,10.71,17.36%,2019-02-27
969,300610,晨化股份,7.87亿,11.86%,"8,614.51万",9.12%,0.57,5.02,11.95%,2019-02-27
970,300640,德艺文创,5.58亿,18.51%,"4,001.51万",12.22%,0.46,2.18,13.53%,2019-02-27
971,300562,乐心医疗,7.75亿,-10.56%,"2,346.72万",31.54%,0.12,2.81,4.50%,2019-02-27
972,002857,三晖电气,2.31亿,13.33%,"3,765.68万",13.24%,0.29,3.58,8.53%,2019-02-27
973,300674,宇信科技,21.41亿,--,1.96亿,--,0.53,4.16,14.16%,2019-02-27
974,300739,明阳电路,11.32亿,7.36%,1.23亿,5.03%,0.68,6.79,10.68%,2019-02-27
975,002920,德赛西威,54.06亿,-10.03%,4.15亿,-32.73%,0.75,7.22,10.83%,2019-02-27
976,300627,华测导航,9.43亿,38.18%,1.07亿,-18.72%,0.45,3.67,13.05%,2019-02-27
977,300735,光弘科技,15.98亿,26.44%,2.67亿,55.89%,0.75,5.09,15.64%,2019-02-27
978,300490,华自科技,13.91亿,123.92%,1.02亿,76.08%,0.45,6.40,8.11%,2019-02-27
979,300519,新光药业,2.76亿,-11.13%,"8,796.87万",-16.49%,0.55,4.71,12.11%,2019-02-27
980,002813,路畅科技,7.65亿,-1.00%,"1,824.98万",-26.17%,0.15,5.58,2.77%,2019-02-27
981,300515,三德科技,2.54亿,23.25%,"3,384.69万",42.16%,0.17,2.33,7.36%,2019-02-27
982,300494,盛天网络,4.97亿,27.91%,"5,372.84万",-37.44%,0.22,4.12,5.53%,2019-02-27
983,300665,飞鹿股份,3.83亿,35.20%,"2,644.00万",-14.38%,0.22,3.77,5.83%,2019-02-27
984,300655,晶瑞股份,8.10亿,51.61%,"5,052.34万",39.66%,0.34,3.36,10.57%,2019-02-27
985,002826,易明医药,4.88亿,30.22%,"2,612.02万",-55.36%,0.14,3.26,4.28%,2019-02-27
986,300576,容大感光,4.23亿,16.42%,"4,179.08万",13.61%,0.35,3.64,9.75%,2019-02-27
987,300663,科蓝软件,7.40亿,11.95%,"4,309.04万",4.84%,0.21,3.58,5.43%,2019-02-27
988,300566,激智科技,9.10亿,22.67%,"4,872.20万",-14.08%,0.40,4.04,7.79%,2019-02-27
989,300480,光力科技,2.56亿,32.77%,"4,322.10万",11.65%,0.22,3.63,6.35%,2019-02-27
990,300500,启迪设计,10.88亿,114.77%,1.19亿,67.69%,0.91,9.54,10.40%,2019-02-27
991,300661,圣邦股份,5.72亿,7.69%,1.04亿,10.46%,1.31,11.02,12.84%,2019-02-27
992,300493,润欣科技,16.93亿,-7.48%,"1,597.91万",-70.75%,0.05,2.35,2.58%,2019-02-27
993,300478,杭州高新,8.54亿,30.69%,"2,430.27万",-48.75%,0.19,4.43,4.28%,2019-02-27
994,300527,中国应急,26.53亿,20.39%,2.24亿,15.95%,0.33,2.34,10.42%,2019-02-27
995,300505,川金诺,9.66亿,20.41%,"6,532.83万",5.06%,0.70,7.72,9.46%,2019-02-27
996,300471,厚普股份,3.76亿,-49.24%,-4.52亿,"-1,477.91%",-1.23,3.37,-30.22%,2019-02-27
997,300481,濮阳惠成,6.36亿,17.54%,1.06亿,44.29%,0.42,2.98,14.94%,2019-02-27
998,300568,星源材质,5.83亿,11.92%,2.20亿,105.45%,1.15,7.94,15.48%,2019-02-27
999,300533,冰川网络,2.90亿,-2.02%,"9,713.37万",-2.69%,0.97,15.58,6.21%,2019-02-27
1000,002895,川恒股份,12.94亿,9.33%,"8,142.51万",-38.93%,0.20,4.71,4.28%,2019-02-27
1001,300616,尚品宅配,66.45亿,24.83%,4.84亿,32.36%,2.48,15.17,17.26%,2019-02-27
1002,300705,九典制药,8.03亿,50.25%,"7,309.78万",7.32%,0.31,3.06,10.62%,2019-02-27
1003,300599,雄塑科技,18.74亿,21.94%,2.05亿,55.15%,0.67,4.65,14.55%,2019-02-27
1004,300468,四方精创,4.87亿,-4.01%,"6,879.29万",-21.97%,0.35,5.43,6.89%,2019-02-27
1005,300492,山鼎设计,2.16亿,41.94%,"2,656.51万",29.93%,0.32,3.78,8.42%,2019-02-27
1006,300484,蓝海华腾,4.02亿,-30.60%,"2,699.07万",-78.86%,0.13,3.40,3.81%,2019-02-27
1007,300467,迅游科技,7.31亿,162.76%,-7.90亿,-864.23%,-3.49,9.80,-30.07%,2019-02-27
1008,002762,金发拉比,4.54亿,5.56%,"3,951.28万",-56.80%,0.11,2.75,3.06%,2019-02-27
1009,300526,中潜股份,4.01亿,3.76%,"2,270.03万",-47.76%,0.14,3.18,4.27%,2019-02-27
1010,300657,弘信电子,22.49亿,52.21%,1.18亿,63.17%,1.13,5.74,21.45%,2019-02-27
1011,300511,雪榕生物,18.47亿,52.43%,1.52亿,23.88%,0.42,3.66,8.79%,2019-02-27
1012,300489,中飞股份,1.50亿,4.02%,139.35万,-88.73%,0.02,5.15,0.30%,2019-02-27
1013,002786,银宝山新,30.11亿,3.65%,"4,274.33万",-33.79%,0.11,2.99,4.10%,2019-02-27
1014,300448,浩云科技,7.65亿,34.31%,1.40亿,26.31%,0.36,3.08,11.71%,2019-02-27
1015,300604,长川科技,2.16亿,20.19%,"3,653.93万",-28.30%,0.25,3.17,8.21%,2019-02-27
1016,300667,必创科技,2.10亿,21.42%,"4,686.67万",9.90%,0.46,3.92,12.24%,2019-02-27
1017,300430,诚益通,6.92亿,24.76%,1.01亿,15.46%,0.37,5.97,6.41%,2019-02-27
1018,300724,捷佳伟创,14.93亿,--,3.14亿,--,1.18,6.98,22.51%,2019-02-27
1019,300649,杭州园林,5.23亿,185.01%,"5,228.87万",49.54%,0.41,2.78,15.61%,2019-02-27
1020,300458,全志科技,13.65亿,13.64%,1.18亿,460.68%,0.36,6.40,5.70%,2019-02-27
1021,300495,美尚生态,23.12亿,--,3.83亿,--,0.64,5.37,11.70%,2019-02-27
1022,300438,鹏辉能源,25.86亿,21.75%,3.05亿,17.22%,1.09,8.16,14.18%,2019-02-27
1023,300424,航新科技,7.65亿,61.49%,"5,073.08万",-23.09%,0.21,3.97,5.49%,2019-02-27
1024,300455,康拓红外,3.12亿,5.92%,"7,565.73万",5.44%,0.15,1.47,10.44%,2019-02-27
1025,300437,清水源,17.26亿,105.63%,2.49亿,119.64%,1.14,6.57,19.02%,2019-02-27
1026,300435,中泰股份,5.95亿,22.48%,"6,575.31万",2.90%,0.26,3.25,8.24%,2019-02-27
1027,300431,暴风集团,11.23亿,-41.25%,-10.90亿,"-2,154.24%",-3.37,0.07,-196.87%,2019-02-27
1028,300642,透景生命,3.65亿,20.46%,1.42亿,11.73%,1.57,11.27,14.80%,2019-02-27
