序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
216,300537,广信材料,6.65亿,47.91%,"5,160.28万",-17.02%,0.27,6.55,4.14%,2019-02-28
217,002848,高斯贝尔,7.91亿,-26.61%,"-7,375.95万",-592.24%,-0.44,3.61,-12.09%,2019-02-28
218,300571,平治信息,8.72亿,-3.70%,2.17亿,119.86%,1.81,4.51,49.89%,2019-02-28
219,300682,朗新科技,10.13亿,29.61%,1.32亿,-4.29%,0.32,3.17,10.55%,2019-02-28
220,002858,力盛赛车,3.76亿,32.39%,"3,887.62万",-4.61%,0.31,3.39,9.40%,2019-02-28
221,300538,同益股份,12.97亿,28.44%,"3,326.26万",69.65%,0.39,5.08,8.02%,2019-02-28
222,300561,汇金科技,2.45亿,0.07%,"2,603.75万",-68.30%,0.16,4.02,3.84%,2019-02-28
223,300615,欣天科技,2.37亿,1.82%,"1,550.90万",-50.98%,0.11,3.18,3.38%,2019-02-28
224,300565,科信技术,5.43亿,-19.57%,"1,739.97万",-70.39%,0.08,3.56,2.35%,2019-02-28
225,300603,立昂技术,6.74亿,-30.96%,"4,508.56万",-44.62%,0.44,4.51,11.57%,2019-02-28
226,603032,德新交运,1.70亿,-13.67%,2.57亿,832.44%,1.61,4.27,11.51%,2019-02-28
227,300678,中科信息,3.44亿,19.45%,"4,674.11万",8.77%,0.26,3.15,8.37%,2019-02-28
228,002896,中大力德,5.99亿,20.26%,"7,322.92万",20.17%,0.92,7.38,12.88%,2019-02-28
229,300530,达志科技,1.83亿,30.82%,"5,494.89万",0.48%,0.78,7.19,11.04%,2019-02-28
230,002818,富森美,14.21亿,12.92%,7.35亿,12.89%,1.67,10.12,16.76%,2019-02-28
231,300560,中富通,5.47亿,39.70%,"5,638.33万",38.58%,0.36,3.39,11.13%,2019-02-28
232,300523,辰安科技,10.31亿,61.39%,1.35亿,48.04%,0.94,8.44,14.63%,2019-02-28
233,002774,快意电梯,8.76亿,16.94%,"7,308.17万",-3.29%,0.22,3.10,7.10%,2019-02-28
234,300513,恒实科技,11.06亿,102.29%,1.18亿,230.51%,0.79,10.33,7.62%,2019-02-28
235,300539,横河模具,5.39亿,8.88%,"1,172.64万",-64.84%,0.06,1.94,3.03%,2019-02-28
236,300543,朗科智能,12.50亿,3.01%,"4,641.39万",-39.16%,0.39,5.54,6.85%,2019-02-28
237,002943,宇晶股份,4.05亿,--,"9,922.53万",--,1.29,7.76,27.48%,2019-02-28
238,002897,意华股份,13.88亿,14.22%,"7,791.79万",-17.09%,0.46,6.58,7.01%,2019-02-28
239,002809,红墙股份,9.32亿,47.66%,"6,831.14万",-15.29%,0.57,8.20,6.88%,2019-02-28
240,300512,中亚股份,7.20亿,5.63%,1.88亿,0.49%,0.70,4.91,12.57%,2019-02-28
241,300506,名家汇,13.35亿,91.72%,3.27亿,81.14%,1.00,5.48,23.92%,2019-02-28
242,300536,农尚环境,4.60亿,--,"5,224.68万",--,0.31,3.40,9.55%,2019-02-28
243,300491,通合科技,1.62亿,-25.31%,"-1,416.52万",-232.17%,-0.10,2.85,-3.41%,2019-02-28
244,300706,阿石创,2.56亿,8.70%,"2,781.49万",-32.09%,0.20,3.06,6.63%,2019-02-28
245,002829,星网宇达,4.07亿,-0.33%,"1,865.06万",-70.85%,0.12,5.31,2.30%,2019-02-28
246,002898,赛隆药业,4.44亿,21.23%,"6,479.55万",0.11%,0.41,4.17,10.08%,2019-02-28
247,002828,贝肯能源,9.16亿,38.72%,"4,618.90万",-33.77%,0.23,4.65,4.79%,2019-02-28
248,300514,友讯达,6.97亿,16.06%,"5,078.65万",-28.98%,0.25,2.63,10.03%,2019-02-28
249,300531,优博讯,9.51亿,121.61%,1.18亿,125.28%,0.42,2.53,18.11%,2019-02-28
250,300736,百邦科技,6.31亿,-6.17%,"3,043.84万",-25.18%,0.38,5.01,7.80%,2019-02-28
251,002787,华源控股,13.84亿,18.81%,"5,512.69万",-46.23%,0.19,4.73,4.60%,2019-02-28
252,002806,华锋股份,6.50亿,47.55%,"7,325.13万",157.21%,0.50,7.12,11.92%,2019-02-28
253,002881,美格智能,9.94亿,55.35%,"5,498.32万",-6.15%,0.30,2.96,10.67%,2019-02-28
254,002810,山东赫达,9.11亿,39.78%,"7,190.43万",52.31%,0.63,6.35,10.11%,2019-02-28
255,002772,众兴菌业,9.26亿,25.23%,1.14亿,-19.86%,0.34,7.05,4.27%,2019-02-28
256,300659,中孚信息,3.58亿,27.18%,"4,463.89万",-8.18%,0.34,3.42,10.33%,2019-02-28
257,300509,新美星,5.44亿,8.63%,"4,727.36万",-20.27%,0.37,4.73,7.96%,2019-02-28
258,002941,新疆交建,56.77亿,--,3.69亿,--,0.62,3.52,21.15%,2019-02-28
259,300485,赛升药业,14.28亿,90.37%,2.83亿,0.40%,0.59,5.27,11.65%,2019-02-28
260,300473,德尔股份,37.12亿,46.13%,1.66亿,21.54%,1.63,18.49,9.41%,2019-02-28
